"","category","name","price","ratings","no_of_reviews"
"26","Pillow","Snuggledown Duck Feather & Down Pillows 2 Pack - Medium Support Back Sleeper Pillows for Back Pain Relief - 100% Soft Cotton Cover, Hypoallergenic, UK Standard Size (48cm x 74cm)","£24.16","4.2 out of 5 stars","6,093"
"27","Pillow","BedStory 2 Pack Sleeping Pillows, Bed Pillows Down Alternative Hypoallergenic Pillows with Microfiber Filling for Side/Back/Stomach Sleeper, Pillow for Neck Pain Suffers Washable (Blue 42X70CM)","£20.82","4.3 out of 5 stars","2,381"
"28","Pillow","Molblly Shredded Memory Foam Pillow,Sleeping Pillows Pack of 2,Hypoallergenic Bed Pillows for Neck Pain, Non-allergenic & Anti dust mite,Standard Size Bed Pillow(51 * 66,1 Pair)…","£10.41","4.4 out of 5 stars","2,807"
"29","Pillow","Soft Hotel Quality PollyCotton Hallowfibre filled Sleeping Pillows Support for Stomach, back and Side Sleepers (2 Pack)","£73.71","4.3 out of 5 stars","1,219"
"30","Pillow","puredown® Goose Down Feather Pillows for Sleeping Bed Gusseted Pack of 2, 100% Cotton Pillow Cover Downproof Medium Support","£10.80","4.1 out of 5 stars","11,429"
"31","Pillow","BedStory 2 Pack Sleeping Pillows, Down Alternative Dust Mite Resistant & Hypoallergenic, Bed Pillow for Neck/Shoulder Pain/Allergy Sufferers and Back/Stomach/Side Sleepers Standard Size 42X70CM","£5.40","4.4 out of 5 stars","6,162"
"32","Pillow","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","£13.49","4.2 out of 5 stars","2,985"
"33","Pillow","WonderSleep Dream Rite Shredded Memory Foam Pillow Series Luxury Adjustable Loft Home Pillow Hotel Collection Grade Washable Removable Cooling Bamboo Derived Rayon Cover- Queen 1 Pack","£41.66","4.3 out of 5 stars","19,981"
"34","Pillow","BedStory Pillows 2 Pack, Hotel Quality Luxury Down Alternative Pillows, Soft and Supportive Pillows with Breathable Side Grid Design, for Back, Stomach and Side Sleepers 42 x 70 cm","£20.83","4.4 out of 5 stars","382"
"35","Pillow","BedStory Pillows 2 Pack, Hotel Quality Luxury Set of 2, Soft & Comfortable Improve Sleep Quality, Hypoallergenic Down Alternative Pillows for Stomach, Side or Back Sleepers, Washable, Standard Size","£29.16","4.2 out of 5 stars","281"
"36","Pillow","Silentnight Just Like Down Pillow - Hotel Bed Sleep Pillows Cuddle Support Pillow Pair - Machine Washable Soft Comfy Pillows,2 Count (Pack of 1), White","£14.58","4.3 out of 5 stars","2,760"
"37","Pillow","Maxzzz Down Alternative Fill Hotel Quality Pillows 2 Pack -Luxury Hotel Pillows Designed for Side Sleeper, Breathable Pillows Feature a Side Grid Design, Firm Pillows for Machine Washable","£41.66","4.2 out of 5 stars","23"
"38","Pillow","Threads For Bed Natural Goose Down & Feather Pillows (50% Down), Luxury Sleeping Pillow with Downproof Dual Layer Cover, Medium/Soft Density Support Pillow For Back & Side Sleeper (1 Pack, 19x29)","£82.50","4.0 out of 5 stars","621"
"39","Pillow","NIGHTS Hotel Quality 100% Duck Feather Pillow Pair Soft Extra Filling Pillow (Pack OF 2)","£50.01","4.0 out of 5 stars","907"
"40","Pillow","Slumberdown Supreme Support Pillow 2 Pack Firm Support Bed Pillows Designed for Side Sleepers","£51.54","4.0 out of 5 stars","243"
"41","Pillow","ANALIN 2 pack Goose Feather Down Pillows, 100% Cotton Shell, Non-allergenic & Anti dust mite, Soft Hotel Quality Pillows (50% Goose Down)","£18.32","4.3 out of 5 stars","1,255"
"42","Pillow","BedStory Pillows 2 Pack, Hotel Hypoallergenic Bed Pillows, Brushed Fabric, Luxury Sleeping Pillows for Back, Stomach or Side Sleepers (42X70 CM)","£9.16","4.5 out of 5 stars","58"
"43","Pillow","Cosi Home® Luxury Memory Foam Pillow with Bamboo Pillow Cover, Cooling Gel Filling & Adjustable Height - Breathable & Machine Washable for Side, Back & Front Sleepers (Size: 71 x 45cm)","£22.49","4.4 out of 5 stars","2,847"
"44","Pillow","Maxzzz Pillows 2 Pack, Soft Hypoallergenic Anti-Dust Pillows, Down Alternative Pillows, Bed Pillows for Neck & Side Sleeper, Standard Size Pillows with Removable Bamboo Fiber Cover (42 * 70CM)","£9.99","4.4 out of 5 stars","96"
"45","Pillow","Acanva Bed Pillows 2 Pack Hotel Collection Luxury Soft Inserts for Sleeping-Breathable and Comfortable for Stomach Back Sleepers, King (Pack of 2), White 2 Count","£5.00","4.6 out of 5 stars","4,196"
"46","Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","£10.80","4.4 out of 5 stars","30,787"
"47","Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","£5.40","4.4 out of 5 stars","27,825"
"48","Pillow","GIFTIMIZED Luxury Quilted Pillows Pack Hotel Quality Soft Bounce Back Cover Premium Filled Medium/Firm Support Anti-Allergy Anti-Dustmite (2 Pillows)","£15.29","4.6 out of 5 stars","8"
"49","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","£22.49","4.4 out of 5 stars","8,932"
"50","Pillow","Sofslee Pillows 2 Pack, Hotel Pillows of 2, Hypoallergenic Bed Pillows for Neck Pain, Luxury Sleeping Pillows for Side and Back Sleepers, Down Alternative Fluffy Soft Pillow Standard Size 42 x 70cm","£5.62","4.5 out of 5 stars","42"
"51","Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","£28.80","4.5 out of 5 stars","10,235"
"52","Pillow","Molblly Pillows 2 Pack Shredded Memory Foam Pillow, Cooing Pillows for Sleeping,Hypoallergenic Hotel Bed Pillows Pillows for Neck and Shoulder Pain,Standard Size Washable (51 * 66,1 Pair)","£11.99","4.4 out of 5 stars","885"
"53","Pillow","MH Home Pillows 2 Pack, Soft Support Bounce To Back Hotel Quality Extra Filling Bed Designed For Front, Side And Sleeper, Body","£18.45","4.1 out of 5 stars","3,165"
"54","Pillow","CompuClever Shredded Memory Foam Pillows for Sleeping Cooling Bed Pillow with Adjustable Loft Hypoallergenic Bed Pillows for Side and Back Sleepers Washable Removable Derived Rayon Cover (1-Pack)","£9.23","4.3 out of 5 stars","941"
"55","Pillow","HOMEFOUCS Luxury Goose Feather and Down Pillows, pack of 2 100% Cotton Shell, Non-allergenic & Anti dust mite, Soft Hotel Quality Pillows (40% Down)","£21.60","4.3 out of 5 stars","2,536"
"56","Pillow","Utopia Bedding Pillows 2 Pack Queen Size, (Navy) Hotel Quality Pillows, Brushed Fabric, Bed Pillow for Back, Stomach or Side Sleepers - 18"" x 26"" / 45 x 66 cm","£29.16","4.5 out of 5 stars","4,819"
"57","Pillow","Molblly Sleeping Pillows,Shredded Memory Foam Pillow,Best Orthopedic Sleeping Pillow Non-allergenic & Anti dust mite,Soft Hotel Quality Pillows,Standard Size(2 Pack, 51 x 66 cm)","£14.58","4.5 out of 5 stars","893"
"58","Pillow","Casper Sleep Original Microfiber Pillow for Sleeping, Standard, White","£41.66","4.3 out of 5 stars","6,026"
"59","Pillow","Silentnight Pillow, White, Pack of 2","£14.40","4.4 out of 5 stars","576"
"60","Pillow","BedStory Shredded Memory Foam Pillows Pack of 2 for Sleeping, Cooling Bed Pillows with Adjustable Loft for Neck and Shoulder Pain, Luxury Hypoallergenic Hotel Side Sleeper Pillow - 50x75 cm","£7.20","4.3 out of 5 stars","178"
"61","Pillow","Sofslee Pillows 2 Pack , Hotel Hypoallergenic Bed Pillows for Neck Pain, Luxury Sleeping Pillows of 2 for Side and Back Sleepers, Down Alternative Fluffy Soft Pillow Standard Size 42 x 70cm","£16.19","4.3 out of 5 stars","3,200"
"62","Pillow","TEMPUR Comfort Pillow Cloud 74cm x 50cm - With Extra Soft TEMPUR Material Micro-Cushions - Made from NASA Recognised Supportive Memory Foam TEMPUR Material - Made in Denmark - Removable Washable Cover","£22.49","4.4 out of 5 stars","534"
"63","Pillow","DreamyBlue Premium Pillow for Sleeping - Shredded Memory Foam Fill [Adjustable Loft] Washable Cover from Bamboo Derived Rayon - for Side, Back, Stomach Sleepers - CertiPUR-US Certified","£9.58","4.4 out of 5 stars","2,721"
"64","Pillow","Utopia Bedding Pillows 2 Pack, (UK Standard, White) Hotel Quality Pillows, Luxury Bed Pillow for Back, Stomach or Side Sleepers","£4.79","4.5 out of 5 stars","11,341"
"65","Pillow","CareDeep Soft Support Pillows 2 Pack Bounce to Back Pillows Sleep Positions Machine Washable Anti Allergy Pillow, Hollowfiber Filling Bed Pillow Hotel Quality Comfort at Home","£25.99","4.1 out of 5 stars","359"
"66","Pillow","Sweetnight Bed Pillows 2 Pack- Neck Pillow For Sleeping,Hotel Quality Pillows For Side Stomach And Back Sleepers, 48 X 74 cm (2 Pack)","£49.99","4.4 out of 5 stars","5,509"
"67","Pillow","SUFUEE Goose Feather and Down Pillows Pair, Luxury Pillows with 100% Cotton Cover, Medium and Soft Firmness, Hotel Quality(48X74cm)","£25.00","4.3 out of 5 stars","1,747"
"68","Pillow","Maxzzz Pillows 2 Pack, Luxury Pillows Hotel Quality, Soft Pillows for Sleeping with Breathable Mesh Side, Bounce Back Bed Pillow, Support Pillow Down Alternative Microfiber Filling (Standard Size)","£54.99","4.4 out of 5 stars","77"
"69","Pillow","BedStory Pillows, Sleeping Pillows 2 Pack Hypoallergenic Anti-Dust Pillow Down Alternative Quality Bamboo Pillows for Stomach Back and Side Sleepers Standard Size Washable","£19.16","4.4 out of 5 stars","61"
"70","Pillow","Martian Dreams Luxury Hotel Pillows (2 Pack) - 100% Hypoallergenic Ultra Soft Microfibre Filling (50x75cm)","£9.58","4.6 out of 5 stars","3,842"
"71","Pillow","Snuggledown Duck Feather & Down Pillows 2 Pack - Medium Support Back Sleeper Pillows for Back Pain Relief - 100% Soft Cotton Cover, Hypoallergenic, UK Standard Size (48cm x 74cm)","£24.16","4.2 out of 5 stars","6,093"
"72","Pillow","BedStory 2 Pack Sleeping Pillows, Bed Pillows Down Alternative Hypoallergenic Pillows with Microfiber Filling for Side/Back/Stomach Sleeper, Pillow for Neck Pain Suffers Washable (Blue 42X70CM)","£20.82","4.3 out of 5 stars","2,381"
"73","Pillow","Molblly Shredded Memory Foam Pillow,Sleeping Pillows Pack of 2,Hypoallergenic Bed Pillows for Neck Pain, Non-allergenic & Anti dust mite,Standard Size Bed Pillow(51 * 66,1 Pair)…","£10.41","4.4 out of 5 stars","2,807"
"74","Pillow","Soft Hotel Quality PollyCotton Hallowfibre filled Sleeping Pillows Support for Stomach, back and Side Sleepers (2 Pack)","£73.71","4.3 out of 5 stars","1,219"
"75","Pillow","puredown® Goose Down Feather Pillows for Sleeping Bed Gusseted Pack of 2, 100% Cotton Pillow Cover Downproof Medium Support","£10.80","4.1 out of 5 stars","11,429"
"76","Pillow","BedStory 2 Pack Sleeping Pillows, Down Alternative Dust Mite Resistant & Hypoallergenic, Bed Pillow for Neck/Shoulder Pain/Allergy Sufferers and Back/Stomach/Side Sleepers Standard Size 42X70CM","£5.40","4.4 out of 5 stars","6,162"
"77","Pillow","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","£13.49","4.2 out of 5 stars","2,985"
"78","Pillow","WonderSleep Dream Rite Shredded Memory Foam Pillow Series Luxury Adjustable Loft Home Pillow Hotel Collection Grade Washable Removable Cooling Bamboo Derived Rayon Cover- Queen 1 Pack","£41.66","4.3 out of 5 stars","19,981"
"79","Pillow","BedStory Pillows 2 Pack, Hotel Quality Luxury Down Alternative Pillows, Soft and Supportive Pillows with Breathable Side Grid Design, for Back, Stomach and Side Sleepers 42 x 70 cm","£20.83","4.4 out of 5 stars","382"
"80","Pillow","BedStory Pillows 2 Pack, Hotel Quality Luxury Set of 2, Soft & Comfortable Improve Sleep Quality, Hypoallergenic Down Alternative Pillows for Stomach, Side or Back Sleepers, Washable, Standard Size","£29.16","4.2 out of 5 stars","281"
"81","Pillow","Silentnight Just Like Down Pillow - Hotel Bed Sleep Pillows Cuddle Support Pillow Pair - Machine Washable Soft Comfy Pillows,2 Count (Pack of 1), White","£14.58","4.3 out of 5 stars","2,760"
"82","Pillow","Maxzzz Down Alternative Fill Hotel Quality Pillows 2 Pack -Luxury Hotel Pillows Designed for Side Sleeper, Breathable Pillows Feature a Side Grid Design, Firm Pillows for Machine Washable","£41.66","4.2 out of 5 stars","23"
"83","Pillow","Threads For Bed Natural Goose Down & Feather Pillows (50% Down), Luxury Sleeping Pillow with Downproof Dual Layer Cover, Medium/Soft Density Support Pillow For Back & Side Sleeper (1 Pack, 19x29)","£82.50","4.0 out of 5 stars","621"
"84","Pillow","NIGHTS Hotel Quality 100% Duck Feather Pillow Pair Soft Extra Filling Pillow (Pack OF 2)","£50.01","4.0 out of 5 stars","907"
"85","Pillow","Slumberdown Supreme Support Pillow 2 Pack Firm Support Bed Pillows Designed for Side Sleepers","£51.54","4.0 out of 5 stars","243"
"86","Pillow","ANALIN 2 pack Goose Feather Down Pillows, 100% Cotton Shell, Non-allergenic & Anti dust mite, Soft Hotel Quality Pillows (50% Goose Down)","£18.32","4.3 out of 5 stars","1,255"
"87","Pillow","BedStory Pillows 2 Pack, Hotel Hypoallergenic Bed Pillows, Brushed Fabric, Luxury Sleeping Pillows for Back, Stomach or Side Sleepers (42X70 CM)","£9.16","4.5 out of 5 stars","58"
"88","Pillow","Cosi Home® Luxury Memory Foam Pillow with Bamboo Pillow Cover, Cooling Gel Filling & Adjustable Height - Breathable & Machine Washable for Side, Back & Front Sleepers (Size: 71 x 45cm)","£22.49","4.4 out of 5 stars","2,847"
"89","Pillow","Maxzzz Pillows 2 Pack, Soft Hypoallergenic Anti-Dust Pillows, Down Alternative Pillows, Bed Pillows for Neck & Side Sleeper, Standard Size Pillows with Removable Bamboo Fiber Cover (42 * 70CM)","£9.99","4.4 out of 5 stars","96"
"90","Pillow","Acanva Bed Pillows 2 Pack Hotel Collection Luxury Soft Inserts for Sleeping-Breathable and Comfortable for Stomach Back Sleepers, King (Pack of 2), White 2 Count","£5.00","4.6 out of 5 stars","4,196"
"91","Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","£10.80","4.4 out of 5 stars","30,787"
"92","Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","£5.40","4.4 out of 5 stars","27,825"
"93","Pillow","GIFTIMIZED Luxury Quilted Pillows Pack Hotel Quality Soft Bounce Back Cover Premium Filled Medium/Firm Support Anti-Allergy Anti-Dustmite (2 Pillows)","£15.29","4.6 out of 5 stars","8"
"94","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","£22.49","4.4 out of 5 stars","8,932"
"95","Pillow","Sofslee Pillows 2 Pack, Hotel Pillows of 2, Hypoallergenic Bed Pillows for Neck Pain, Luxury Sleeping Pillows for Side and Back Sleepers, Down Alternative Fluffy Soft Pillow Standard Size 42 x 70cm","£5.62","4.5 out of 5 stars","42"
"96","Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","£28.80","4.5 out of 5 stars","10,235"
"97","Pillow","Molblly Pillows 2 Pack Shredded Memory Foam Pillow, Cooing Pillows for Sleeping,Hypoallergenic Hotel Bed Pillows Pillows for Neck and Shoulder Pain,Standard Size Washable (51 * 66,1 Pair)","£11.99","4.4 out of 5 stars","885"
"98","Pillow","MH Home Pillows 2 Pack, Soft Support Bounce To Back Hotel Quality Extra Filling Bed Designed For Front, Side And Sleeper, Body","£18.45","4.1 out of 5 stars","3,165"
"99","Pillow","CompuClever Shredded Memory Foam Pillows for Sleeping Cooling Bed Pillow with Adjustable Loft Hypoallergenic Bed Pillows for Side and Back Sleepers Washable Removable Derived Rayon Cover (1-Pack)","£9.23","4.3 out of 5 stars","941"
"100","Pillow","HOMEFOUCS Luxury Goose Feather and Down Pillows, pack of 2 100% Cotton Shell, Non-allergenic & Anti dust mite, Soft Hotel Quality Pillows (40% Down)","£21.60","4.3 out of 5 stars","2,536"
